ClusterId,NodeId,NodeType,Region,CurrItems (max over last week),BytesUsedForCache (max over last week),CacheHits (max over last week),CacheMisses (max over last week),CurrConnections (max over last week),NetworkBytesIn (max over last week),NetworkBytesOut (max over last week),NetworkPacketsIn (max over last week),NetworkPacketsOut (max over last week),EngineCPUUtilization (max over last week),Evictions (max over last week),ReplicationBytes (max over last week),ReplicationLag (max over last week),GetTypeCmds (peak last week / hour),HashBasedCmds (peak last week / hour),HyperLogLogBasedCmds (peak last week / hour),KeyBasedCmds (peak last week / hour),ListBasedCmds (peak last week / hour),SetBasedCmds (peak last week / hour),SetTypeCmds (peak last week / hour),SortedSetBasedCmds (peak last week / hour),StringBasedCmds (peak last week / hour),StreamBasedCmds (peak last week / hour),,
checkout-order-1,checkout-order-1-001,cache.r3.2xlarge,ap-southeast-1a,1508931,7224379464,47208,19574,1072,342487369,311018443,258355,336783,7.151191865,0,0,0,65840,0,0,36118,0,0,73685,0,104900,0,,
checkout-order-1,checkout-order-1-002,cache.r3.2xlarge,ap-southeast-1b,1508772,7274192696,48344,21396,3013,367711484,945466948,648878,588144,10.76846141,0,327364073,0,70510,0,0,32126,0,0,72861,0,108659,0,,
checkout-order-1,checkout-order-1-003,cache.r3.2xlarge,ap-southeast-1b,1508887,7226472120,45656,19813,1050,342675785,323163955,253842,336347,6.951158526,0,0,0,65082,0,0,35767,0,0,75072,0,103411,0,,
checkout-cache-prod,checkout-prod-003,cache.r4.4xlarge,ap-southeast-1a,91057196,40109953584,610973,1149677,951,1070497672,1346754781,1576299,1763027,50.22503751,0,0,0,1715178,0,0,117804,3094,0,2871249,0,2882195,0,,
checkout-track-1-00x,checkout-track-1-00x-001,cache.r3.2xlarge,ap-southeast-1b,21914,236203512,0,0,107,288514890,550014080,357027,214129,5.25,0,268387450,0,0,0,0,0,0,0,28778,0,28778,0,,
checkout-track-1-00x,checkout-track-1-00x-002,cache.r3.2xlarge,ap-southeast-1a,22007,236051472,47954,9062,105,294066552,472189894,336764,514288,9.601600267,0,0,0,70158,0,0,28831,0,0,57656,0,98096,0,,
checkout-track-1-00x,checkout-track-1-00x-003,cache.r3.2xlarge,ap-southeast-1b,21930,234537120,45617,8816,105,287449259,448418567,324010,485610,8.6,0,0,0,66296,0,0,28819,0,0,57618,0,91121,0,,
cms-availability,cms-availability-001,cache.r4.2xlarge,ap-southeast-1b,49151281,41275885032,2,1,65,86876664,94148033,312838,406739,40.65,0,69714228,0,2,82522,0,22306,0,0,205493,0,202409,0,,
cms-availability,cms-availability-002,cache.r4.2xlarge,ap-southeast-1a,49151280,41275773736,0,0,5,82289052,329737497,199764,234265,49.67494582,0,0,0,0,82437,0,22294,0,0,205036,0,202030,0,,
crm-cm,crm-cm-001,cache.m4.large,ap-southeast-1b,6309505,1535060392,37973,56903,41,33459989,64329711,259320,278098,7.016666667,0,15218175,0,94107,12804,0,4852,0,0,62158,0,137641,0,,
crm-cm,crm-cm-002,cache.m4.large,ap-southeast-1b,6309054,1532737792,8,0,4,19162391,2959033,61146,30720,2.25,0,0,0,8,1335,0,54869,0,0,104713,0,56439,0,,
crm-cm,crm-cm-003,cache.m4.large,ap-southeast-1a,6308893,1532697360,8,0,5,18831844,2999269,61510,30848,2.233705618,0,0,0,8,1250,0,52768,0,0,103941,0,56588,0,,
crm-hc-bot,crm-hc-bot-001,cache.m4.large,ap-southeast-1b,200440,115008472,7218,5018,17,2941229,5230322,20840,18394,0.666777796,0,941890,0,11841,0,0,0,0,0,2333,0,14174,0,,
crm-hc-bot,crm-hc-bot-002,cache.m4.large,ap-southeast-1a,200447,114730416,0,0,5,1153882,1150820,2738,2603,0.200066689,0,0,0,0,0,0,438,0,0,2637,0,2317,0,,
crm-p-cconeview,crm-p-cconeview-001,cache.m4.large,ap-southeast-1a,81,5137152,4286,584,11,1098339,5601410,8136,7883,0.283380563,0,448174,0,4873,0,0,263,0,0,834,0,5444,0,,
crm-p-cconeview,crm-p-cconeview-002,cache.m4.large,ap-southeast-1b,77,4929264,0,0,5,587264,1195607,1391,1839,0.133355559,0,0,0,0,0,0,578,0,0,1166,0,588,0,,
dash-availability,dash-availability-001,cache.r4.large,ap-southeast-1c,134862,42179368,30,96,9,1033768,1833337,14510,12209,0.400066678,0,94307,0,2382,0,0,2334,0,0,216,64,217,0,,
dash-availability,dash-availability-002,cache.r4.large,ap-southeast-1a,134862,42459512,0,0,4,313984,14576545,3915,10484,0.100016669,0,97373,0,0,0,0,81,0,0,192,23,130,0,,
dash-availability,dash-availability-003,cache.r4.large,ap-southeast-1b,134864,42643368,0,0,5,166905,1226595,668,1153,0.116666667,0,107345,0,0,0,0,81,0,0,190,26,121,0,,
de-business-metric,de-business-metric-001,cache.r4.large,ap-southeast-1a,44719344,9267105048,0,0,4,99360921,7678191,206313,103578,16.21666667,0,0,0,0,0,0,2130351,0,42015,2130358,0,94811,0,,
de-business-metric,de-business-metric-002,cache.r4.large,ap-southeast-1b,44719400,9267458440,241098,27060,12,133974974,393449703,687090,791511,50.33333333,0,85764898,0,252776,0,0,89857,0,84214,222672,0,302159,0,,
de-heapmap-service,de-heapmap-service-001,cache.m3.large,ap-southeast-1a,650342,272432784,0,0,5,27595381,5225926,150084,74600,6.834472412,0,0,0,0,27879,0,94701,0,47220,171799,0,5149,0,,
de-heapmap-service,de-heapmap-service-002,cache.m3.large,ap-southeast-1a,651101,272103152,0,0,5,28898363,62535598,161840,80727,6.851141857,0,0,0,0,29350,0,95448,0,53280,178970,0,5185,0,,
de-heapmap-service,de-heapmap-service-003,cache.m3.large,ap-southeast-1b,650437,273031720,534042,401317,20,94613692,181252419,827275,956340,38.18969828,0,19975007,0,474227,233568,0,82583,3180,249274,170320,0,149886,0,,
de-incentive-engine,de-incentive-01,cache.r3.xlarge,ap-southeast-1b,11145373,21874461232,0,0,5,301591523,137115865,219568,170365,80.21666667,0,0,19.328,0,0,0,80595,0,0,236970,6054,150604,0,474223,131.7286111
de-incentive-engine,de-incentive-engine,cache.r3.xlarge,ap-southeast-1a,11145568,21874541304,365482,96952,72,359147638,798305413,1028001,1182239,29.6216036,0,279381551,0,526308,0,0,34721,0,2,161007,17082,645364,0,,
del-assign-redis2,del-assign-redis2-001,cache.r4.large,ap-southeast-1b,5178812,1274120072,160,161,5,15910184,2136585,37396,20341,3.816666667,0,13575147,0,321,19014,0,86306,282,5773,120311,0,33035,0,,
del-assign-redis2,del-assign-redis2-002,cache.r4.large,ap-southeast-1c,5179348,1278969400,1023298,3014560,194,266150696,410800934,870169,874607,38.58333333,0,13101566,0,3903854,3898913,0,50625,257,36019,112421,0,41369,0,,
del-core-master,del-core-master,cache.m4.xlarge,ap-southeast-1a,1715521,730358752,437714,57176,159,118244065,221019380,524835,587242,18.40306718,0,58499214,0,430828,543838,0,214749,0,110883,440777,0,994,0,,
del-core-master,del-core-slave-001,cache.m4.xlarge,ap-southeast-1a,1715525,729253320,175,175,4,65829993,3979696,110236,55259,4.933333333,0,0,0,350,113996,0,217342,0,7391,339520,1417,525,0,,
de-location-v1,de-location-v1-001,cache.r3.xlarge,ap-southeast-1b,583465,139464584,138839,10,167,67530081,143342519,400662,574416,13.53558926,0,41039054,0,2846,0,0,3631,0,0,199098,0,198059,0,,
de-location-v1,de-location-v1-002,cache.r3.xlarge,ap-southeast-1a,583702,138642384,426448,65664,85,93208401,72895473,594043,492942,21.35355893,0,41051651,0,403168,0,0,3596,0,0,199101,0,593450,0,,
de-location-v1,de-location-v1-003,cache.r3.xlarge,ap-southeast-1a,583332,137767440,366391,83935,85,82690017,60868082,509254,414268,17.96966161,0,41117524,0,330134,0,0,3615,0,0,199214,0,508654,0,,
prod-de-redis,de-prod-redis-001,cache.r3.2xlarge,ap-southeast-1a,22078572,16883468632,1137684,123384,382,1219368660,336271241,1955711,1754802,62.22703784,0,0,0,1721517,451348,0,679222,3533,32430,316672,0,1004439,0,,
prod-de-redis,de-prod-redis-01,cache.r3.2xlarge,ap-southeast-1a,22078743,16908686296,509175,113442,1109,1346185333,7563251085,2320616,2398547,53.11666667,0,1197764232,0,572566,71685,0,175944,3312,70780,321789,0,593291,0,,
prod-de-redis,de-prod-rslave-002,cache.r3.2xlarge,ap-southeast-1a,22797411,17751920368,1059830,110136,411,1204745416,151105137,1848067,1656501,58.56666667,0,0,0,1609516,352325,0,646620,3432,31577,323635,0,924486,0,,
prod-de-redis,de-prod-rslave-003,cache.r3.2xlarge,ap-southeast-1a,22797087,17751628040,906422,109782,483,1225996397,132306270,1583742,1402332,51.85864311,0,0,0,1354560,385467,0,524823,3571,32434,316660,0,810159,0,,
,de-sentry-cache,cache.r3.2xlarge,ap-southeast-1a,70057,125673680,32290,8984,277,478362781,425702781,404067,383004,10.28504751,0,0,0,39197,216087,5,228651,24304,15416,481465,78,39514,0,,
de-waroom,de-waroom-001,cache.r4.large,ap-southeast-1b,678132,277297184,541149,10041,40,268878560,1517425317,1131786,1745560,28.55475913,0,189489657,0,553393,0,0,11722,0,188703,427670,0,787691,0,,
de-waroom,de-waroom-002,cache.r4.large,ap-southeast-1b,678134,253539536,2,2,5,206322937,161488198,268004,224013,9.083333333,0,0,0,2,0,0,2739,0,131071,395602,0,265246,0,,
edm,edm-001,cache.r5.large,ap-southeast-1a,82,5105328,63,12,10,109461,1193242,786,1196,0.100016669,0,6869,0,63,6,0,31,0,0,31,0,62,0,,
edm,edm-002,cache.r5.large,ap-southeast-1c,83,4924072,0,0,5,93530,1195580,519,1065,0.100016669,0,7287,0,0,2,0,6,0,0,22,0,19,0,,
